Rank;Team/NOC;Gold Medal;Silver Medal;Bronze Medal;Total;Rank by Total;NOCCode;Continent
1;United States of America;39;41;33;113;1;USA;North America
2;People's Republic of China;38;32;18;88;2;CHN;Asia
3;Japan;27;14;17;58;5;JPN;Asia
4;Great Britain;22;21;22;65;4;GBR;Europe
5;ROC;20;28;23;71;3;ROC;Europe/Asia
6;Australia;17;7;22;46;6;AUS;Australia
7;Netherlands;10;12;14;36;9;NED;Europe
8;France;10;12;11;33;10;FRA;Europe
9;Germany;10;11;16;37;8;GER;Europe
10;Italy;10;10;20;40;7;ITA;Europe
11;Canada;7;6;11;24;11;CAN;North America
12;Brazil;7;6;8;21;12;BRA;South America
13;New Zealand;7;6;7;20;13;NZL;Australia
14;Cuba;7;3;5;15;18;CUB;North America
15;Hungary;6;7;7;20;13;HUN;Europe
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
